Results from query to  NASA/IPAC Extragalactic Database (NED),,,,,,,,,,,,,,,,
which is funded by the National Aeronautics and Space Administration.,,,,,,,,,,,,,,,,
and operated by the California Institute of Technology.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
queryDateTime:2024-06-24T19:37:35PDT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Main Information Table for All Sky,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Equinox:J2000.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CoordSystem:Equatorial,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
44,WISEA J000254.39-563304.6,0.72629,-56.55119,G,9134,0.030468,SLS,16.76,0,8,0,40,10,4,2,0
45,NGC 7812,0.72696,-34.23564,G,6806,0.022702,SUN,13.86,0,35,1,41,13,13,17,0
46,WISEA J000255.13-073021.3,0.72976,-7.50599,G,8651,0.028857,SLS,16.71,0,9,1,37,9,4,2,0
47,UGC 00004,0.73742,4.20872,G,8631,0.02879,S1L,15.11,0,34,0,46,15,12,6,0
48,UGC 00005,0.77358,-1.91381,G,7271,0.024253,SUN,13.97,0,118,3,64,28,20,7,0
49,UGC 00006,0.79009,21.96016,G,6579,0.021945,UUN,14.38,0,235,11,134,36,29,8,0
50,WISEA J000314.28-271427.9,0.8095,-27.24111,G,8993,0.029997,SUN,15.71,0,10,0,36,9,5,2,0
51,NGC 7814,0.81204,16.14542,G,1051,0.003506,S1L,11.56,0,301,9,131,40,28,14,0
52,CGCG 382-022,0.82179,3.62206,G,8004,0.026698,S1L,15.3,0,21,0,41,14,9,3,0
53,UGC 00012,0.83492,29.79731,G,6984,0.023296,SUN,15.42,0,39,1,41,12,4,7,0
54,KUG 0000+305,0.84104,30.78189,G,5086,0.016966,SUN,15.7,0,19,1,33,9,2,2,0
55,KUG 0000+054,0.84567,5.70428,G,6188,0.020641,SUN,15.2,0,20,1,40,11,8,4,0
56,IC 5382,0.85917,-65.19667,G,8775,0.02927,SLS,15.31,0,11,0,38,8,3,14,0
57,WISEA J000327.41+273917.0,0.86425,27.65475,G,11874,0.039607,SLS,,0,16,0,50,12,7,2,0
58,UGC 00013,0.87178,27.35164,G,7719,0.025748,S1L,14.69,0,39,1,41,10,11,7,0
59,NGC 7808,0.88387,-10.74466,G,8865,0.02957,SLS,14.1g,0,60,0,104,26,19,14,0
60,MCG +06-01-009,0.88421,37.33808,G,14892,0.049675,PUN,15,0,7,0,32,5,1,4,0
61,UGC 00014,0.89592,23.20078,G,7270,0.02425,SLS,13.79,0,109,2,60,28,23,7,0
62,WISEA J000341.46+703643.5,0.92267,70.61211,G,4620,0.015411,SLS,11.0K,0,11,0,32,5,4,2,0
63,MCG -03-01-016,0.93825,-14.69489,G,5815,0.019397,SUN,15.18,0,10,0,30,6,4,3,0
64,IRAS 00012-5451,0.94178,-54.57727,G,10730,0.035791,SUN,,0,8,0,4,3,1,0,0
65,WISEA J000346.15+092040.0,0.94217,9.34442,G,12076,0.040281,SUN,16.62,0,7,0,37,9,2,2,0
66,NGC 7816,0.95358,7.47864,G,5242,0.017485,S1L,13.61,0,61,1,54,18,14,7,0
67,NGC 7817,0.99546,20.75233,G,2310,0.007705,SUN,12.56,0,184,6,81,27,19,7,0
